"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y25_64_NaceF/18",-0.000290725290204386,1.02009142038471e-05,1,8.09638198892984e-06,0.00634521457873669
"emp_Y25_64_NaceF/19",-0.00101512997892297,1.5693351566588e-05,1,8.09638198892984e-06,0.00787017914256151
"emp_Y25_64_NaceF/20",0.00170132812363219,1.59040177892278e-05,1,8.09638198892984e-06,0.00792282735449766
"emp_Y25_64_NaceG_I/2",-0.0012588545988835,3.03237307038877e-05,3,1.48486899435913e-05,0.0109400191326506
"emp_Y25_64_NaceG_I/3",0.000160847235020963,2.23649607012325e-06,3,1.48486899435913e-05,0.00297105598601006
"emp_Y25_64_NaceG_I/4",-0.000788910399990235,6.13000094712654e-06,3,1.48486899435913e-05,0.00491877590291
"emp_Y25_64_NaceG_I/5",0.0014186955255836,1.2409304167122e-05,3,1.48486899435913e-05,0.00699842770849058
"emp_Y25_64_NaceG_I/6",0.00210148867330549,2.17233201167499e-05,3,1.48486899435913e-05,0.00925954969785992
"emp_Y25_64_NaceG_I/7",0.00152765187773589,1.34072029806055e-05,3,1.48486899435913e-05,0.0072743778921929
"emp_Y25_64_NaceG_I/8",-0.00229784823021728,2.97755229738186e-05,3,1.48486899435913e-05,0.0108406785047189
"emp_Y25_64_NaceG_I/9",0.000644260831157311,5.81153412527135e-06,3,1.48486899435913e-05,0.0047893013251863
"emp_Y25_64_NaceG_I/10",-3.68048330256161e-05,1.53177569798734e-06,3,1.48486899435913e-05,0.00245880650533078
"emp_Y25_64_NaceG_I/11",-0.00286101885276378,6.84877781600291e-05,3,1.48486899435913e-05,0.0164411921345036
"emp_Y25_64_NaceG_I/12",0.0021265299160887,2.28392211348829e-05,3,1.48486899435913e-05,0.0094943975089152
"emp_Y25_64_NaceG_I/13",0.000827365233153771,7.31702537656538e-06,3,1.48486899435913e-05,0.00537395526129552
"emp_Y25_64_NaceG_I/14",-0.000979641372303004,2.05482158472128e-05,3,1.48486899435913e-05,0.00900562431140612
