unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
PC_LW95,AT	: 	: 	3.2 e	3.5 e	3.3 e	3.3 e	3.6 e	3.8 e	5.0 e	: 	: 	: 	: 	: 
PC_LW95,AT11	: 	: 	0.0 e	0.4 e	0.0 e	0.0 e	0.1 e	1.0 e	0.4 e	: 	: 	: 	: 	: 
PC_LW95,AT12	: 	: 	1.3 e	1.6 e	0.9 e	0.7 e	1.7 e	2.4 e	3.5 e	: 	: 	: 	: 	: 
PC_LW95,AT13	: 	: 	6.8 e	8.0 e	9.3 e	8.2 e	7.5 e	6.7 e	9.4 e	: 	: 	: 	: 	: 
PC_LW95,AT21	: 	: 	0.3 e	0.5 e	0.2 e	2.0 e	1.0 e	1.6 e	2.9 e	: 	: 	: 	: 	: 
PC_LW95,AT22	: 	: 	0.8 e	1.2 e	1.4 e	1.2 e	2.4 e	2.0 e	2.6 e	: 	: 	: 	: 	: 
PC_LW95,AT31	: 	: 	0.6 e	0.8 e	0.7 e	0.5 e	0.6 e	1.0 e	1.4 e	: 	: 	: 	: 	: 
PC_LW95,AT32	: 	: 	0.9 e	0.4 e	1.0 e	0.9 e	1.8 e	3.0 e	1.8 e	: 	: 	: 	: 	: 
PC_LW95,AT33	: 	: 	1.0 e	0.8 e	0.8 e	0.4 e	0.1 e	0.6 e	0.6 e	: 	: 	: 	: 	: 
PC_LW95,AT34	: 	: 	0.4 e	0.4 e	0.0 e	1.0 e	0.1 e	0.1 e	2.0 e	: 	: 	: 	: 	: 
PC_POP,ITF1	: 	11.1 	9.5 	8.6 	8.1 	13.2 	5.4 	4.9 	4.9 	5.3 	3.9 	5.0 	2.8 	: 
PC_POP,ITF2	: 	9.9 	8.9 	18.9 	10.0 	12.1 	7.5 	4.2 	3.5 	6.7 	4.2 	4.2 	6.6 	: 
PC_POP,ITF3	: 	16.3 	18.7 	21.9 	21.8 	18.3 	13.9 	12.2 	16.6 	14.3 	14.5 	15.5 	17.5 	: 
PC_POP,ITF4	: 	26.9 	23.2 	24.7 	34.0 	20.4 	11.5 	11.9 	14.8 	12.8 	12.8 	11.1 	14.1 	: 
PC_POP,ITF5	: 	14.0 	15.1 	20.7 	23.5 	24.3 	9.3 	10.3 	11.7 	7.7 	7.4 	9.2 	6.9 	: 
PC_POP,ITF6	: 	15.7 	15.6 	19.7 	22.2 	20.9 	11.6 	10.5 	10.0 	12.0 	10.8 	15.8 	14.6 	: 
PC_POP,ITG	: 	24.2 	23.2 	25.1 	29.2 	21.8 	16.6 	16.5 	16.6 	14.6 	13.9 	16.4 	13.8 	: 
PC_POP,ITG1	: 	27.3 	26.0 	28.9 	35.9 	25.7 	19.5 	18.5 	18.0 	16.7 	15.2 	18.3 	16.5 	: 
PC_POP,ITG2	: 	14.5 	14.7 	13.6 	8.7 	10.0 	7.6 	10.5 	12.4 	8.5 	10.0 	10.5 	5.4 	: 
PC_POP,ITH	: 	4.8 	5.8 	6.0 	5.7 	5.1 	3.8 	3.5 	3.0 	3.3 	2.8 	2.9 	2.8 	: 
PC_POP,ITH1	: 	5.3 	3.3 	2.2 	4.0 	1.6 	1.5 	1.4 	2.2 	2.5 	2.3 	1.3 	3.2 	: 
PC_POP,ITH2	: 	5.1 	2.8 	4.8 	6.2 	2.5 	3.6 	1.1 	1.9 	0.7 	0.5 	1.7 	0.5 	: 
PC_POP,ITH3	: 	3.6 	4.7 	3.8 	4.2 	4.1 	4.1 	3.9 	2.9 	3.4 	3.2 	3.0 	3.4 	: 
PC_POP,ITH4	: 	4.9 	7.2 	6.6 	6.4 	6.5 	2.5 	4.0 	3.8 	4.1 	3.8 	2.9 	3.2 	: 
PC_POP,ITH5	: 	5.9 	7.3 	8.9 	7.3 	6.6 	4.2 	3.5 	3.2 	3.3 	2.4 	3.1 	2.2 	: 
PC_POP,ITI	: 	8.4 	7.4 	6.8 	10.1 	7.3 	5.5 	4.9 	5.0 	4.7 	3.5 	3.5 	3.8 	: 
PC_POP,ITI1	: 	8.9 	7.3 	4.8 	9.3 	7.8 	5.1 	3.8 	3.9 	3.8 	3.2 	2.7 	2.5 	: 
PC_POP,ITI2	: 	10.4 	5.2 	8.6 	10.0 	5.7 	4.1 	4.3 	3.2 	2.7 	2.5 	3.8 	3.4 	: 
PC_POP,ITI3	: 	10.8 	9.5 	9.4 	10.5 	10.6 	4.9 	4.0 	4.0 	4.4 	4.8 	3.6 	4.0 	: 
PC_POP,ITI4	: 	7.2 	7.3 	7.1 	10.6 	6.2 	6.2 	6.1 	6.2 	5.8 	3.6 	3.9 	4.6 	: 
PC_POP,LT	: 	13.9 	13.6 	16.0 	19.8 	19.0 	19.9 	15.6 	12.5 b	16.6 	25.3 	32.6 	: 	: 
PC_POP,LU	: 	2.0 	1.4 	1.8 	1.3 	1.2 	0.5 	1.1 	0.7 	0.8 	1.1 	1.8 	0.8 	1.9 
PC_POP,LV	12.8 	16.4 	19.2 	24.0 	25.6 	31.0 	27.6 	22.1 	19.3 b	24.0 	31.3 	39.3 	: 	: 
PC_POP,MK	: 	30.4 	35.7 	37.7 	40.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_POP,MT	: 	8.1 	10.2 	9.5 	9.2 	6.6 	6.5 	5.0 	4.3 	4.4 	3.9 	5.4 	: 	: 
PC_POP,NL	: 	2.6 	3.2 	2.5 	2.3 	2.5 	2.2 	1.4 	1.5 	1.7 	2.3 	2.5 	: 	: 
PC_POP,NL1	: 	1.5 	1.8 	1.9 	1.3 	1.8 	: 	: 	: 	: 	: 	: 	: 	: 
PC_POP,NL2	: 	1.4 	3.0 	2.1 	2.1 	2.3 	: 	: 	: 	: 	: 	: 	: 	: 
PC_POP,NL3	: 	3.5 	4.1 	3.1 	3.1 	3.0 	: 	: 	: 	: 	: 	: 	: 	: 
PC_POP,NL4	: 	2.2 	1.8 	1.8 	1.3 	1.8 	: 	: 	: 	: 	: 	: 	: 	: 
PC_POP,NO	: 	1.7 	1.2 	2.0 	1.7 	2.3 	2.0 	2.2 	2.0 	2.3 	2.8 	3.5 	2.7 	3.2 
PC_POP,NO01	: 	2.5 	1.5 	2.8 	1.9 	3.4 	2.8 	2.5 	2.1 	3.0 	3.5 	5.2 	2.7 	4.1 
PC_POP,NO02	: 	0.8 	1.0 	0.6 	1.2 	0.9 	1.1 	0.6 	0.9 	2.0 	1.3 	1.0 	1.7 	1.7 
PC_POP,NO03	: 	1.5 	1.5 	1.9 	1.4 	2.8 	2.9 	3.1 	2.9 	2.1 	2.5 	3.0 	1.0 	3.0 
PC_POP,NO04	: 	1.1 	1.2 	2.0 	1.8 	2.0 	1.8 	2.1 	1.8 	1.8 	3.0 	2.4 	3.0 	3.4 
PC_POP,NO05	: 	1.4 	1.2 	1.3 	1.7 	1.9 	0.7 	1.6 	1.7 	2.7 	3.4 	4.6 	3.2 	2.8 
