unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
AVG,PL1	: 	1.1 	1.1 	1.1 	1.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,PL2	: 	1.1 	1.1 	1.1 	1.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,PL3	: 	1.1 	1.0 	1.0 	1.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,PL4	: 	1.1 	1.1 	1.0 	1.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,PL5	: 	1.1 	1.1 	1.1 	1.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,PL6	: 	1.1 	1.0 	1.0 	1.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,PT	: 	1.7 	1.7 	1.6 	1.6 	1.6 	1.4 	1.5 	1.4 	1.4 	1.4 	1.4 	1.4 	: 
AVG,RO	: 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	0.9 	: 	: 	: 	: 
AVG,RO1	: 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	: 	: 	: 	: 
AVG,RO11	: 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	: 	: 	: 	: 
AVG,RO12	: 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.8 	: 	: 	: 	: 
AVG,RO2	: 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	: 	: 	: 	: 
AVG,RO21	: 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	0.9 	0.9 	0.9 	: 	: 	: 	: 
AVG,RO22	: 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.0 	: 	: 	: 	: 
AVG,RO3	: 	1.0 	1.1 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	: 	: 	: 	: 
AVG,RO31	: 	1.0 	1.1 	1.1 	1.0 	1.1 	1.0 	1.0 	1.0 	1.0 	: 	: 	: 	: 
AVG,RO32	: 	1.1 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	0.9 	0.9 	: 	: 	: 	: 
AVG,RO4	: 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	: 	: 	: 	: 
AVG,RO41	: 	1.2 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.0 	1.0 	: 	: 	: 	: 
AVG,RO42	: 	1.1 	1.0 	1.0 	1.0 	1.0 	1.0 	0.9 	0.9 	0.9 	: 	: 	: 	: 
AVG,RS	: 	1.0 	1.0 	0.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,SE	: 	1.8 	1.8 	1.7 	1.7 	1.7 	1.7 	1.8 	1.7 	1.7 	1.8 	1.7 	1.7 	: 
AVG,SE1	: 	1.7 	1.6 	1.7 	1.6 	1.6 	1.7 	1.7 	1.6 	: 	: 	: 	: 	: 
AVG,SE11	: 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	: 	: 	: 	: 	: 
AVG,SE12	: 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.8 	1.7 	: 	: 	: 	: 	: 
AVG,SE2	: 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.7 	: 	: 	: 	: 	: 
AVG,SE21	: 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	2.0 	1.9 	: 	: 	: 	: 	: 
AVG,SE22	: 	1.8 	1.8 	1.7 	1.7 	1.8 	1.8 	1.8 	1.8 	: 	: 	: 	: 	: 
AVG,SE23	: 	1.8 	1.8 	1.7 	1.7 	1.7 	1.7 	1.8 	1.7 	: 	: 	: 	: 	: 
AVG,SE3	: 	1.9 	1.9 	1.8 	1.8 	1.8 	1.8 	1.9 	1.8 	: 	: 	: 	: 	: 
AVG,SE31	: 	1.9 	1.9 	1.8 	1.8 	1.9 	1.8 	1.9 	1.8 	: 	: 	: 	: 	: 
AVG,SE32	: 	2.0 	1.9 	1.9 	1.8 	1.8 	1.9 	1.9 	1.8 	: 	: 	: 	: 	: 
AVG,SE33	: 	1.8 	1.8 	1.7 	1.8 	1.8 	1.7 	1.8 	1.7 	: 	: 	: 	: 	: 
AVG,SI	: 	1.5 	1.5 	1.5 	1.4 	1.4 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	: 	: 
AVG,SI0	: 	1.5 	1.5 	1.5 	1.4 	1.4 	1.1 	1.1 	1.1 	: 	: 	: 	: 	: 
AVG,SI01	: 	1.5 	1.5 	1.5 	1.4 	1.4 	1.1 	1.1 	1.1 	: 	: 	: 	: 	: 
AVG,SI02	: 	1.5 	1.5 	1.5 	1.4 	1.4 	1.1 	1.1 	1.1 	: 	: 	: 	: 	: 
AVG,SK	: 	1.1 	1.1 	1.1 	1.2 	1.2 	1.1 	1.1 	1.1 	1.1 	1.0 	1.0 	: 	: 
AVG,SK0	: 	1.1 	1.1 	1.1 	1.2 	1.2 	1.1 	1.1 	1.1 	1.1 	1.0 	1.0 	: 	: 
AVG,SK01	: 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 	1.1 	: 	: 
AVG,SK02	: 	1.2 	1.2 	1.1 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 	1.0 	1.0 	: 	: 
AVG,SK03	: 	1.1 	1.1 	1.1 	1.2 	1.2 	1.1 	1.1 	1.1 	1.1 	1.0 	1.0 	: 	: 
AVG,SK04	: 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.0 	1.0 	: 	: 
AVG,TR	: 	: 	: 	1.0 	0.9 	0.9 	: 	0.9 	0.9 	0.9 	0.9 	: 	: 	: 
AVG,UK	: 	2.0 	1.9 	1.9 	1.9 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	1.8 	: 	: 
