unit,iscedf13,isced11,sex,geo\time	2015 	2014 	2013 
NR,F000,ED35,F,MT	0 	: 	: 
NR,F000,ED35,F,NL	0 	: 	: 
NR,F000,ED35,F,NO	0 	: 	: 
NR,F000,ED35,F,PL	0 	: 	: 
NR,F000,ED35,F,PT	0 	: 	: 
NR,F000,ED35,F,RO	0 	: 	: 
NR,F000,ED35,F,SE	0 	: 	: 
NR,F000,ED35,F,SI	0 	: 	: 
NR,F000,ED35,F,SK	0 	: 	: 
NR,F000,ED35,M,AT	0 	: 	: 
NR,F000,ED35,M,BE	0 	: 	: 
NR,F000,ED35,M,BG	0 	: 	: 
NR,F000,ED35,M,CH	0 	: 	: 
NR,F000,ED35,M,CY	0 	: 	: 
NR,F000,ED35,M,CZ	0 	: 	: 
NR,F000,ED35,M,DE	0 	0 	0 
NR,F000,ED35,M,DK	0 	: 	: 
NR,F000,ED35,M,EE	0 	: 	: 
NR,F000,ED35,M,ES	0 	: 	: 
NR,F000,ED35,M,FI	0 	: 	: 
NR,F000,ED35,M,FR	0 	: 	: 
NR,F000,ED35,M,HR	: d	: 	: 
NR,F000,ED35,M,HU	0 	: 	: 
