unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PCH_PRE,FR43	-1.5 	-0.5 	-4.1 	2.6 	-0.4 	-0.7 	0.1 	3.1 	2.7 	0.5 	3.7 	2.3 	2.2 	4.9 	: 
PCH_PRE,FR5	1.3 	1.7 	1.1 	5.1 	-0.3 	0.2 	0.9 	3.6 	4.1 	2.4 	6.4 	3.2 	3.9 	4.5 	: 
PCH_PRE,FR51	1.5 	2.2 	0.8 	5.5 	0.0 	-0.1 	3.0 	4.2 	3.9 	2.6 	5.0 	3.4 	3.9 	5.3 	: 
PCH_PRE,FR52	1.2 	1.1 	0.9 	4.6 	-0.5 	0.0 	-0.4 	2.5 	4.5 	3.0 	8.5 	3.2 	3.4 	3.8 	: 
PCH_PRE,FR53	0.8 	1.8 	1.8 	5.1 	-0.3 	1.2 	-1.1 	4.3 	3.9 	1.1 	5.9 	3.0 	4.6 	4.1 	: 
PCH_PRE,FR6	0.8 	1.5 	1.6 	4.4 	-0.4 	2.1 	0.7 	2.1 	6.2 	3.6 	5.2 	2.6 	4.4 	6.3 	: 
PCH_PRE,FR61	-0.1 	0.7 	0.7 	4.7 	0.7 	2.5 	0.1 	3.1 	5.7 	2.9 	5.1 	2.1 	4.6 	6.2 	: 
PCH_PRE,FR62	1.8 	2.3 	2.9 	4.5 	-0.9 	1.9 	2.2 	0.9 	7.4 	4.6 	5.8 	3.2 	4.1 	7.1 	: 
PCH_PRE,FR63	1.0 	1.4 	-0.1 	2.4 	-3.3 	1.1 	-2.3 	2.5 	4.0 	3.1 	2.9 	2.1 	5.0 	3.5 	: 
PCH_PRE,FR7	0.8 	1.8 	0.4 	3.9 	2.1 	-0.6 	2.5 	3.4 	5.3 	2.6 	6.4 	3.1 	2.2 	3.8 	: 
PCH_PRE,FR71	1.0 	1.9 	0.5 	3.9 	2.3 	-0.7 	3.4 	3.3 	5.6 	2.8 	6.5 	3.1 	2.0 	4.0 	: 
PCH_PRE,FR72	-0.1 	1.3 	-0.2 	3.9 	0.8 	-0.1 	-2.0 	3.9 	3.5 	1.8 	5.6 	2.7 	3.4 	2.6 	: 
PCH_PRE,FR8	1.0 	1.6 	1.6 	2.5 	2.5 	1.7 	1.7 	2.8 	5.1 	3.8 	6.4 	4.3 	3.2 	5.3 	: 
PCH_PRE,FR81	1.2 	1.8 	0.2 	4.0 	0.1 	2.1 	3.3 	3.6 	5.5 	3.1 	6.3 	5.2 	3.8 	5.4 	: 
PCH_PRE,FR82	0.9 	1.4 	2.3 	1.8 	3.6 	1.3 	0.7 	2.5 	4.9 	4.1 	6.5 	3.9 	3.0 	5.2 	: 
PCH_PRE,FR83	2.6 	3.0 	0.7 	3.7 	2.5 	6.2 	6.3 	3.1 	6.9 	5.2 	6.2 	4.8 	3.0 	6.1 	: 
PCH_PRE,FRA	3.4 	2.3 	1.7 	1.7 	0.7 	1.4 	4.6 	4.3 	7.8 	5.2 	6.7 	6.5 	5.1 	7.4 	: 
PCH_PRE,FRA1	1.8 	1.5 	0.9 	2.1 	1.7 	1.8 	6.6 	3.2 	7.4 	4.2 	5.5 	9.9 	3.6 	6.2 	: 
PCH_PRE,FRA2	2.6 	0.9 	-0.1 	0.9 	0.2 	1.4 	0.3 	3.4 	6.1 	4.1 	6.1 	5.5 	3.7 	6.3 	: 
PCH_PRE,FRA3	8.7 	4.6 	5.4 	3.9 	-1.0 	7.6 	4.0 	-0.3 	14.2 	5.9 	4.8 	0.3 	8.9 	16.8 	: 
PCH_PRE,FRA4	2.9 	2.3 	1.8 	1.0 	0.5 	-0.2 	4.9 	6.2 	7.0 	5.9 	7.3 	6.4 	5.8 	6.9 	: 
PCH_PRE,FRA5	8.7 	8.1 	6.0 	5.5 	5.0 	2.5 	18.3 	5.8 	16.2 	9.9 	17.0 	12.1 	6.3 	7.2 	: 
PCH_PRE,FRZ	: 	-0.8 	0.1 	-0.5 	-2.7 	-1.1 	-50.9 	-2.9 	198.1 	-6.4 	-7.9 	-4.0 	2.7 	6.5 	: 
PCH_PRE,FRZZ	: 	-0.8 	0.1 	-0.5 	-2.7 	-1.1 	-50.9 	-2.9 	198.1 	-6.4 	-7.9 	-4.0 	2.7 	6.5 	: 
PCH_PRE,HR	-0.1 	-1.1 	-3.2 	0.0 	-2.5 	-6.3 	2.4 	5.0 	4.7 	4.0 	4.3 	5.6 	5.2 	3.5 	2.7 
PCH_PRE,HR0	-0.1 	-1.1 	-3.2 	0.0 	-2.5 	-6.3 	2.4 	5.0 	4.7 	4.0 	4.3 	5.6 	5.2 	3.5 	2.7 
PCH_PRE,HU	3.8 	2.5 	-1.8 	1.9 	0.8 	-6.6 	0.7 	0.3 	3.8 	4.3 	4.9 	3.9 	4.5 	3.9 	4.1 
PCH_PRE,IE	5.5 	0.5 	-0.7 	0.9 	1.0 	-3.9 	-1.7 	5.0 	6.8 	5.0 	4.0 	2.9 	5.4 	5.9 	9.5 
PCH_PRE,IE0	5.5 	0.5 	-0.7 	0.9 	1.0 	-3.9 	-1.7 	5.0 	6.8 	5.0 	4.0 	2.9 	5.4 	5.9 	9.5 
PCH_PRE,IT	-0.2 	-1.5 	-2.4 	0.6 	1.7 	-5.5 	-0.8 	1.6 	1.9 	0.8 	1.6 	0.1 	0.3 	1.7 	3.8 
PCH_PRE,LT	3.0 	3.5 	3.8 	6.0 	1.6 	-14.8 	2.6 	11.1 	7.4 	7.7 	6.6 	10.5 	6.8 	6.5 	3.8 
PCH_PRE,LT0	3.0 	3.5 	3.8 	6.0 	1.6 	-14.8 	2.6 	11.1 	7.4 	7.7 	6.6 	10.5 	6.8 	6.5 	3.8 
PCH_PRE,LT00	3.0 	3.5 	3.8 	6.0 	1.6 	-14.8 	2.6 	11.1 	7.4 	7.7 	6.6 	10.5 	6.8 	6.5 	3.8 
PCH_PRE,LU	3.6 	4.2 	-1.2 	2.0 	6.0 	-5.7 	-1.1 	8.5 	5.6 	2.8 	4.1 	1.1 	3.5 	2.7 	: 
PCH_PRE,LU0	3.6 	4.2 	-1.2 	2.0 	6.0 	-5.7 	-1.1 	8.5 	5.6 	2.8 	4.1 	1.1 	3.5 	2.7 	: 
PCH_PRE,LU00	3.6 	4.2 	-1.2 	2.0 	6.0 	-5.7 	-1.1 	8.5 	5.6 	2.8 	4.1 	1.1 	3.5 	2.7 	: 
PCH_PRE,LV	2.1 	2.5 	3.3 	6.2 	-4.4 	-12.0 	-1.9 	9.2 	11.3 	10.9 	8.3 	8.4 	7.3 	6.6 	5.2 
PCH_PRE,LV0	2.1 	2.5 	3.3 	6.2 	-4.4 	-12.0 	-1.9 	9.2 	11.3 	10.9 	8.3 	8.4 	7.3 	6.6 	5.2 
PCH_PRE,LV00	2.1 	2.5 	3.3 	6.2 	-4.4 	-12.0 	-1.9 	9.2 	11.3 	10.9 	8.3 	8.4 	7.3 	6.6 	5.2 
PCH_PRE,MK	6.6 	3.9 	-0.7 	1.9 	3.4 	-0.3 	5.7 	5.9 	4.5 	4.2 	4.6 	2.6 	1.2 	-2.7 	: 
