unit,na_item,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR_HAB,B5N,DEC	: 	22600.00 	22100.00 	21700.00 	20700.00 	20000.00 	20100.00 	19600.00 	19100.00 	18800.00 	18600.00 	18100.00 	17600.00 	17800.00 	17000.00 
EUR_HAB,B5N,DEC0	: 	22600.00 	22100.00 	21700.00 	20700.00 	20000.00 	20100.00 	19600.00 	19100.00 	18800.00 	18600.00 	18100.00 	17600.00 	17800.00 	17000.00 
EUR_HAB,B5N,DED	: 	18100.00 	17800.00 	17400.00 	16500.00 	16100.00 	16100.00 	15400.00 	14700.00 	14000.00 	14000.00 	13700.00 	13300.00 	13100.00 	12700.00 
EUR_HAB,B5N,DED2	: 	18400.00 	18000.00 	17600.00 	16800.00 	16400.00 	16400.00 	15700.00 	15000.00 	14400.00 	14400.00 	14000.00 	13500.00 	13300.00 	12900.00 
EUR_HAB,B5N,DED4	: 	17700.00 	17200.00 	16700.00 	15900.00 	15500.00 	15500.00 	14800.00 	14200.00 	13500.00 	13600.00 	13300.00 	12900.00 	12800.00 	12300.00 
EUR_HAB,B5N,DED5	: 	18400.00 	18200.00 	17900.00 	17000.00 	16500.00 	16500.00 	15700.00 	15000.00 	14300.00 	14300.00 	13900.00 	13400.00 	13300.00 	12900.00 
EUR_HAB,B5N,DEE	: 	17400.00 	17100.00 	16600.00 	15800.00 	15400.00 	15200.00 	14400.00 	13800.00 	13200.00 	13000.00 	12700.00 	12400.00 	12300.00 	11900.00 
EUR_HAB,B5N,DEE0	: 	17400.00 	17100.00 	16600.00 	15800.00 	15400.00 	15200.00 	14400.00 	13800.00 	13200.00 	13000.00 	12700.00 	12400.00 	12300.00 	11900.00 
EUR_HAB,B5N,DEF	: 	24600.00 	24100.00 	23500.00 	22600.00 	22300.00 	22300.00 	21600.00 	20900.00 	20400.00 	20000.00 	19900.00 	19500.00 	19700.00 	19300.00 
EUR_HAB,B5N,DEF0	: 	24600.00 	24100.00 	23500.00 	22600.00 	22300.00 	22300.00 	21600.00 	20900.00 	20400.00 	20000.00 	19900.00 	19500.00 	19700.00 	19300.00 
EUR_HAB,B5N,DEG	: 	18400.00 	18000.00 	17500.00 	16600.00 	16300.00 	16400.00 	15600.00 	15000.00 	14300.00 	14200.00 	13900.00 	13500.00 	13400.00 	12900.00 
EUR_HAB,B5N,DEG0	: 	18400.00 	18000.00 	17500.00 	16600.00 	16300.00 	16400.00 	15600.00 	15000.00 	14300.00 	14200.00 	13900.00 	13500.00 	13400.00 	12900.00 
EUR_HAB,B5N,DK	27300.00 	26500.00 	26200.00 	25600.00 	25300.00 	24600.00 	24900.00 	24400.00 	23700.00 	22500.00 	21600.00 	20800.00 	20400.00 	19900.00 	18900.00 
