"";"F00";"F01";"F02";"F03";"F04";"F05";"F06";"F07";"F08";"F09";"F10"
"PT3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PT30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"RO";NA;NA;NA;NA;12.5;NA;NA;NA;4.16666666666667;NA;29.1666666666667
"RO1";NA;NA;NA;NA;24.1379310344828;NA;NA;NA;20.6896551724138;NA;6.89655172413793
"RO11";NA;NA;NA;NA;15.7894736842105;NA;NA;NA;10.5263157894737;NA;42.1052631578947
"RO12";NA;NA;NA;NA;9.09090909090909;NA;NA;NA;4.54545454545455;NA;27.2727272727273
"RO2";NA;NA;NA;NA;22.5806451612903;NA;NA;NA;19.3548387096774;NA;12.9032258064516
"RO21";NA;NA;NA;NA;19.047619047619;NA;NA;NA;9.52380952380952;NA;42.8571428571429
"RO22";NA;NA;NA;NA;8.69565217391304;NA;NA;NA;4.34782608695652;NA;30.4347826086957
"RO3";NA;NA;NA;NA;6.66666666666667;NA;NA;NA;30;NA;23.3333333333333
"RO31";NA;NA;NA;NA;12.5;NA;NA;NA;8.33333333333333;NA;25
"RO32";NA;NA;NA;NA;41.1764705882353;NA;NA;NA;17.6470588235294;NA;11.7647058823529
"RO4";NA;NA;NA;NA;18.75;NA;NA;NA;15.625;NA;28.125
"RO41";NA;NA;NA;NA;8.69565217391304;NA;NA;NA;4.34782608695652;NA;30.4347826086957
"RO42";NA;NA;NA;NA;9.52380952380952;NA;NA;NA;4.76190476190476;NA;23.8095238095238
"SE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SE33";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SI0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
