"";"lmktm_OC0";"lmktm_OC1";"lmktm_OC2";"lmktm_OC3";"lmktm_OC4";"lmktm_OC5";"lmktm_OC6";"lmktm_OC7";"lmktm_OC8";"lmktm_OC9";"lmktm_ED0-2";"lmktm_ED3_4";"lmktm_ED5-8";"lmktm_Total"
"HU";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"HU1";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"HU10";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"HU2";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"HU21";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"HU22";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"HU23";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"HU3";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"HU31";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"HU32";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"HU33";NA;4.10036719706242;4.19618528610354;3.01270417422868;3.420523138833;3.69075369075369;NA;3.28210965661165;2.30885692657078;3.34738408132904;2.75423728813559;3.04437103830015;4.27818983123723;3.32934664701138
"IE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IE0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IE01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IE02";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IT";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITC";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITC1";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITC2";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITC3";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITC4";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITF";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITF1";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITF2";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITF3";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITF4";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITF5";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITF6";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITG";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITG1";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITG2";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITH";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
"ITH1";5.01070663811563;8.15090824406148;5.48250602848173;7.75307296809561;6.8194346011497;22.3799963496988;37.0761115297664;23.0570919658761;16.8282252316465;40.2061383417316;20.8793774319066;16.1145066583412;12.421843718237;16.8632026085136
