"sex";"age";"unit";"isco08";"isced11";"mgstatus";"geo";"X2014"
"T";"TOTAL";"THS_PER";"OC6";"ED0-2";"TOTAL";"CY";0.9
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC6";"ED3_4";"TOTAL";"CY";0.5
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC6";"ED5-8";"TOTAL";"CY";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"IMG";"CY";NA
"T";"TOTAL";"THS_PER";"OC6";"TOTAL";"TOTAL";"CY";1.5
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"IMG";"CY";3.1
"T";"TOTAL";"THS_PER";"OC7";"ED0-2";"TOTAL";"CY";8
"T";"TOTAL";"THS_PER";"OC7";"ED3_4";"IMG";"CY";4.6
