"unit";"sex";"age";"geo";"X2015"
"NR";"T";"Y65-74";"BE35";43778
"NR";"T";"YGE75";"BE35";40795
"NR";"F";"TOTAL";"BG";3700183
"NR";"F";"Y0-14";"BG";484908
"NR";"F";"Y15-24";"BG";348193
"NR";"F";"Y25-64";"BG";2009589
"NR";"F";"Y65-74";"BG";474797
"NR";"F";"YGE75";"BG";382696
"NR";"M";"TOTAL";"BG";3502015
"NR";"M";"Y0-14";"BG";513288
"NR";"M";"Y15-24";"BG";370080
"NR";"M";"Y25-64";"BG";2035811
"NR";"M";"Y65-74";"BG";356601
"NR";"M";"YGE75";"BG";226235
"NR";"T";"TOTAL";"BG";7202198
"NR";"T";"Y0-14";"BG";998196
"NR";"T";"Y15-24";"BG";718273
"NR";"T";"Y25-64";"BG";4045400
"NR";"T";"Y65-74";"BG";831398
"NR";"T";"YGE75";"BG";608931
"NR";"F";"TOTAL";"BG3";1858089
"NR";"F";"Y0-14";"BG3";247896
"NR";"F";"Y15-24";"BG3";172347
"NR";"F";"Y25-64";"BG3";985115
"NR";"F";"Y65-74";"BG3";255083
"NR";"F";"YGE75";"BG3";197648
"NR";"M";"TOTAL";"BG3";1773061
"NR";"M";"Y0-14";"BG3";262228
"NR";"M";"Y15-24";"BG3";184435
"NR";"M";"Y25-64";"BG3";1013723
"NR";"M";"Y65-74";"BG3";193650
"NR";"M";"YGE75";"BG3";119025
"NR";"T";"TOTAL";"BG3";3631150
"NR";"T";"Y0-14";"BG3";510124
"NR";"T";"Y15-24";"BG3";356782
"NR";"T";"Y25-64";"BG3";1998838
"NR";"T";"Y65-74";"BG3";448733
"NR";"T";"YGE75";"BG3";316673
"NR";"F";"TOTAL";"BG31";406590
"NR";"F";"Y0-14";"BG31";51243
"NR";"F";"Y15-24";"BG31";35098
"NR";"F";"Y25-64";"BG31";203722
"NR";"F";"Y65-74";"BG31";63558
"NR";"F";"YGE75";"BG31";52969
"NR";"M";"TOTAL";"BG31";390552
"NR";"M";"Y0-14";"BG31";54066
"NR";"M";"Y15-24";"BG31";38141
"NR";"M";"Y25-64";"BG31";217088
"NR";"M";"Y65-74";"BG31";49073
"NR";"M";"YGE75";"BG31";32184
"NR";"T";"TOTAL";"BG31";797142
"NR";"T";"Y0-14";"BG31";105309
"NR";"T";"Y15-24";"BG31";73239
"NR";"T";"Y25-64";"BG31";420810
"NR";"T";"Y65-74";"BG31";112631
"NR";"T";"YGE75";"BG31";85153
"NR";"F";"TOTAL";"BG32";423532
"NR";"F";"Y0-14";"BG32";50381
"NR";"F";"Y15-24";"BG32";40528
"NR";"F";"Y25-64";"BG32";223546
"NR";"F";"Y65-74";"BG32";63131
"NR";"F";"YGE75";"BG32";45946
"NR";"M";"TOTAL";"BG32";402004
