"unit";"nace_r2";"isco08";"age";"sex";"geo";"X2014"
"INDIC";"B-F";"OC4";"TOTAL";"T";"NL";15.84
"INDIC";"B-F";"OC4";"TOTAL";"T";"PL";7.88
"INDIC";"B-F";"OC4";"TOTAL";"T";"PT";7.27
"INDIC";"B-F";"OC4";"TOTAL";"T";"RO";4.66
"INDIC";"B-F";"OC4";"TOTAL";"T";"SE";14.91
"INDIC";"B-F";"OC4";"TOTAL";"T";"SI";9.78
"INDIC";"B-F";"OC4";"TOTAL";"T";"SK";7.15
"INDIC";"B-F";"OC4";"TOTAL";"T";"UK";11.98
"INDIC";"B-F";"OC5";"TOTAL";"F";"AT";9.91
"INDIC";"B-F";"OC5";"TOTAL";"F";"BE";13.58
"INDIC";"B-F";"OC5";"TOTAL";"F";"BG";2.63
"INDIC";"B-F";"OC5";"TOTAL";"F";"CY";NA
"INDIC";"B-F";"OC5";"TOTAL";"F";"CZ";4.77
"INDIC";"B-F";"OC5";"TOTAL";"F";"DE";9.87
"INDIC";"B-F";"OC5";"TOTAL";"F";"DK";12.95
"INDIC";"B-F";"OC5";"TOTAL";"F";"EE";5.05
"INDIC";"B-F";"OC5";"TOTAL";"F";"EL";NA
"INDIC";"B-F";"OC5";"TOTAL";"F";"ES";7.8
"INDIC";"B-F";"OC5";"TOTAL";"F";"FI";13.05
"INDIC";"B-F";"OC5";"TOTAL";"F";"FR";10.95
"INDIC";"B-F";"OC5";"TOTAL";"F";"HR";NA
"INDIC";"B-F";"OC5";"TOTAL";"F";"HU";6.1
"INDIC";"B-F";"OC5";"TOTAL";"F";"IE";13.13
"INDIC";"B-F";"OC5";"TOTAL";"F";"IT";11.66
"INDIC";"B-F";"OC5";"TOTAL";"F";"LT";3.44
"INDIC";"B-F";"OC5";"TOTAL";"F";"LU";10.39
"INDIC";"B-F";"OC5";"TOTAL";"F";"LV";3.66
"INDIC";"B-F";"OC5";"TOTAL";"F";"MT";8.88
"INDIC";"B-F";"OC5";"TOTAL";"F";"NL";11.3
"INDIC";"B-F";"OC5";"TOTAL";"F";"PL";5.22
"INDIC";"B-F";"OC5";"TOTAL";"F";"PT";5.59
"INDIC";"B-F";"OC5";"TOTAL";"F";"RO";2.8
"INDIC";"B-F";"OC5";"TOTAL";"F";"SE";13.87
"INDIC";"B-F";"OC5";"TOTAL";"F";"SI";7.53
"INDIC";"B-F";"OC5";"TOTAL";"F";"SK";4.73
"INDIC";"B-F";"OC5";"TOTAL";"F";"UK";10.11
"INDIC";"B-F";"OC5";"TOTAL";"M";"AT";15.87
